"issue_key","type","severity","rule","component","line","message","status","resolution","effort","tags","assignee","creation_date","update_date","local_file","fix_decision","fix_status"
"AZ3pW7V7XiTxNghnGRsR","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","993","Refactor this function to reduce its Cognitive Complexity from 83 to the 15 allowed.","OPEN",,"1h13min","brain-overload",,"2026-04-29T01:31:06+0000","2026-05-04T01:43:15+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3pW7XAXiTxNghnGRtI","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/CuestionarioCompartido/CuestionarioCompartido.css","41","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-28T01:08:46+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/CuestionarioCompartido/CuestionarioCompartido.css","pending_analysis","open"
"AZ3pW7StXiTxNghnGRrv","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Historial/HistorialBase.css","196","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-28T01:08:46+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Historial/HistorialBase.css","pending_analysis","open"
"AZ3pW7UbXiTxNghnGRr1","CODE_SMELL","MAJOR","typescript:S3358","JeiTy29_cognIA-frontend:src/pages/Plataforma/Historial/HistorialBase.tsx","541","Extract this nested ternary operation into an independent statement.","OPEN",,"5min","confusing",,"2026-04-28T01:08:46+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Historial/HistorialBase.tsx","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRr4","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","58","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-24T08:59:13+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7V7XiTxNghnGRsO","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","937","Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.","OPEN",,"20min","brain-overload",,"2026-04-24T08:59:13+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3pW7V7XiTxNghnGRsZ","CODE_SMELL","MAJOR","typescript:S3358","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","1554","Extract this nested ternary operation into an independent statement.","OPEN",,"5min","confusing",,"2026-04-24T08:59:13+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3pW7V7XiTxNghnGRsc","CODE_SMELL","MAJOR","typescript:S3358","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","1561","Extract this nested ternary operation into an independent statement.","OPEN",,"5min","confusing",,"2026-04-24T08:59:13+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3pW7V7XiTxNghnGRsl","CODE_SMELL","MAJOR","typescript:S3358","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","1748","Extract this nested ternary operation into an independent statement.","OPEN",,"5min","confusing",,"2026-04-24T08:59:13+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3pW7UbXiTxNghnGRr3","CODE_SMELL","MINOR","typescript:S7735","JeiTy29_cognIA-frontend:src/pages/Plataforma/Historial/HistorialBase.tsx","764","Unexpected negated condition.","OPEN",,"2min","readability",,"2026-04-24T08:59:13+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Historial/HistorialBase.tsx","pending_analysis","open"
"AZ3pW7WuXiTxNghnGRs_","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Plataforma/MiCuenta/MiCuenta.tsx","78","Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.","OPEN",,"13min","brain-overload",,"2026-04-24T08:59:13+0000","2026-05-04T08:12:14+0000","src/pages/Plataforma/MiCuenta/MiCuenta.tsx","pending_analysis","open"
"AZ3pW7YGXiTxNghnGRtj","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Autenticacion/MFA/MFA.tsx","28","Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.","OPEN",,"7min","brain-overload",,"2026-04-23T05:47:03+0000","2026-05-02T15:41:37+0000","src/pages/Autenticacion/MFA/MFA.tsx","pending_analysis","open"
"AZ3pW7ZDXiTxNghnGRt7","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/Cuestionarios/PreguntasCuestionario.css","101","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-23T04:27:16+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/Cuestionarios/PreguntasCuestionario.css","pending_analysis","open"
"AZ3pW7ZiXiTxNghnGRuB","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/Dashboard/Dashboard.css","149","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T23:07:47+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/Dashboard/Dashboard.css","pending_analysis","open"
"AZ3pW7ZiXiTxNghnGRuC","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/Dashboard/Dashboard.css","315","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T23:07:47+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/Dashboard/Dashboard.css","pending_analysis","open"
"AZ3pW7a7XiTxNghnGRvB","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/Metricas/Metricas.css","155","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T23:07:47+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/Metricas/Metricas.css","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRr6","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","720","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRr7","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","726","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRr8","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","732","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRr9","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1083","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRr-","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1127","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRr_","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1132","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRsA","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1137","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7UnXiTxNghnGRsB","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1142","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3pW7V7XiTxNghnGRsh","CODE_SMELL","MINOR","typescript:S7735","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","1665","Unexpected negated condition.","OPEN",,"2min","readability",,"2026-04-19T11:36:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3pW7XAXiTxNghnGRtJ","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/CuestionarioCompartido/CuestionarioCompartido.css","148","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T09:53:41+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/CuestionarioCompartido/CuestionarioCompartido.css","pending_analysis","open"
"AZ3pW7StXiTxNghnGRrw","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Historial/HistorialBase.css","230","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-19T09:53:41+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Historial/HistorialBase.css","pending_analysis","open"
"AZ3pW7V7XiTxNghnGRsP","CODE_SMELL","MINOR","typescript:S7735","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","947","Unexpected negated condition.","OPEN",,"2min","readability",,"2026-04-19T07:06:41+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3pW7V7XiTxNghnGRsQ","CODE_SMELL","MINOR","typescript:S7735","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","948","Unexpected negated condition.","OPEN",,"2min","readability",,"2026-04-19T07:06:41+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3pW7XAXiTxNghnGRtH","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/CuestionarioCompartido/CuestionarioCompartido.css","27","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-18T04:05:09+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/CuestionarioCompartido/CuestionarioCompartido.css","pending_analysis","open"
"AZ3pW7StXiTxNghnGRrt","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Historial/HistorialBase.css","112","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-18T04:05:09+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Historial/HistorialBase.css","pending_analysis","open"
"AZ3pW7StXiTxNghnGRru","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Historial/HistorialBase.css","117","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-18T04:05:09+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Historial/HistorialBase.css","pending_analysis","open"
"AZ3pW7WRXiTxNghnGRsw","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Ayuda/Ayuda.css","326","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-17T22:30:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Ayuda/Ayuda.css","pending_analysis","open"
"AZ3pW7WRXiTxNghnGRsy","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Ayuda/Ayuda.css","368","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-17T22:30:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Ayuda/Ayuda.css","pending_analysis","open"
"AZ3pW7WRXiTxNghnGRsz","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Ayuda/Ayuda.css","374","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-17T22:30:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Ayuda/Ayuda.css","pending_analysis","open"
"AZ3pW7WRXiTxNghnGRs0","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Ayuda/Ayuda.css","471","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-17T22:30:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Ayuda/Ayuda.css","pending_analysis","open"
"AZ3pW7WRXiTxNghnGRs2","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Ayuda/Ayuda.css","481","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-17T22:30:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Ayuda/Ayuda.css","pending_analysis","open"
"AZ3pW7WRXiTxNghnGRs3","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Ayuda/Ayuda.css","486","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-17T22:30:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/Ayuda/Ayuda.css","pending_analysis","open"
"AZ3pW7WGXiTxNghnGRso","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Plataforma/Ayuda/AyudaBase.tsx","143","Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.","OPEN",,"15min","brain-overload",,"2026-04-17T22:30:27+0000","2026-05-04T09:23:23+0000","src/pages/Plataforma/Ayuda/AyudaBase.tsx","pending_analysis","open"
"AZ3pW7WjXiTxNghnGRs6","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/MiCuenta/MiCuenta.css","237","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-17T22:30:27+0000","2026-05-02T15:41:37+0000","src/pages/Plataforma/MiCuenta/MiCuenta.css","pending_analysis","open"
"AZ3pW7ZNXiTxNghnGRt8","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/Cuestionarios/Cuestionarios.css","84","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-17T13:21:32+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/Cuestionarios/Cuestionarios.css","pending_analysis","open"
"AZ3pW7Z3XiTxNghnGRuP","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/AdminShared.css","82","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-16T05:26:25+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/AdminShared.css","pending_analysis","open"
"AZ3pW7Z3XiTxNghnGRuQ","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/AdminShared.css","87","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-16T05:26:25+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/AdminShared.css","pending_analysis","open"
"AZ3pW7Z3XiTxNghnGRuR","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/AdminShared.css","92","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-16T05:26:25+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/AdminShared.css","pending_analysis","open"
"AZ3pW7Z3XiTxNghnGRuS","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/AdminShared.css","216","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-16T05:26:25+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/AdminShared.css","pending_analysis","open"
"AZ3pW7Z3XiTxNghnGRuU","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/AdminShared.css","335","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-16T05:26:25+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/AdminShared.css","pending_analysis","open"
"AZ3pW7Z3XiTxNghnGRuV","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/AdminShared.css","340","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-16T05:26:25+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/AdminShared.css","pending_analysis","open"
"AZ3pW7Z3XiTxNghnGRuW","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/AdminShared.css","345","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-04-16T05:26:25+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/AdminShared.css","pending_analysis","open"
"AZ3pW7XeXiTxNghnGRtQ","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Autenticacion/InicioSesion/InicioSesion.tsx","34","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","OPEN",,"6min","brain-overload","JeiTy29-aYeTA@github","2026-02-26T02:00:27+0000","2026-05-02T15:41:37+0000","src/pages/Autenticacion/InicioSesion/InicioSesion.tsx","pending_analysis","open"
"AZ3pW7X9XiTxNghnGRth","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Autenticacion/RestablecerContrase̱a/RestablecerContrase̱a.tsx","15","Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.","OPEN",,"9min","brain-overload","JeiTy29-aYeTA@github","2026-02-26T01:00:19+0000","2026-05-04T08:12:14+0000","src/pages/Autenticacion/RestablecerContrase̱a/RestablecerContrase̱a.tsx","pending_analysis","open"
"AZ3pW7aLXiTxNghnGRum","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Administrador/Usuarios/Usuarios.css","111","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag","JeiTy29-aYeTA@github","2026-02-19T03:10:03+0000","2026-05-02T15:41:37+0000","src/pages/Administrador/Usuarios/Usuarios.css","pending_analysis","open"
